No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
I,Beras,21/08/2019,11100,Idul Adha 2019
1,Beras Kualitas Bawah I,21/08/2019,10000,Idul Adha 2019
2,Beras Kualitas Bawah II,21/08/2019,9400,Idul Adha 2019
3,Beras Kualitas Medium I,21/08/2019,11400,Idul Adha 2019
4,Beras Kualitas Medium II,21/08/2019,10900,Idul Adha 2019
5,Beras Kualitas Super I,21/08/2019,12900,Idul Adha 2019
6,Beras Kualitas Super II,21/08/2019,12100,Idul Adha 2019
II,Daging Ayam,21/08/2019,33350,Idul Adha 2019
1,Daging Ayam Ras Segar,21/08/2019,33350,Idul Adha 2019
III,Daging Sapi,21/08/2019,122500,Idul Adha 2019
1,Daging Sapi Kualitas 1,21/08/2019,127650,Idul Adha 2019
2,Daging Sapi Kualitas 2,21/08/2019,117350,Idul Adha 2019
IV,Telur Ayam,21/08/2019,23400,Idul Adha 2019
1,Telur Ayam Ras Segar,21/08/2019,23400,Idul Adha 2019
V,Bawang Merah,21/08/2019,23400,Idul Adha 2019
1,Bawang Merah Ukuran Sedang,21/08/2019,23400,Idul Adha 2019
VI,Bawang Putih,21/08/2019,33300,Idul Adha 2019
1,Bawang Putih Ukuran Sedang,21/08/2019,33300,Idul Adha 2019
VII,Cabai Merah,21/08/2019,56800,Idul Adha 2019
1,Cabai Merah Besar,21/08/2019,48200,Idul Adha 2019
2,Cabai Merah Keriting ,21/08/2019,65350,Idul Adha 2019
VIII,Cabai Rawit,21/08/2019,70600,Idul Adha 2019
1,Cabai Rawit Hijau,21/08/2019,51900,Idul Adha 2019
2,Cabai Rawit Merah,21/08/2019,89200,Idul Adha 2019
IX,Minyak Goreng,21/08/2019,12250,Idul Adha 2019
1,Minyak Goreng Curah,21/08/2019,10350,Idul Adha 2019
2,Minyak Goreng Kemasan Bermerk 1,21/08/2019,13450,Idul Adha 2019
3,Minyak Goreng Kemasan Bermerk 2,21/08/2019,12950,Idul Adha 2019
X,Gula Pasir,21/08/2019,13300,Idul Adha 2019
1,Gula Pasir Kualitas Premium,21/08/2019,13700,Idul Adha 2019
2,Gula Pasir Lokal,21/08/2019,12850,Idul Adha 2019
I,Beras,22/08/2019,11100,Idul Adha 2019
1,Beras Kualitas Bawah I,22/08/2019,10000,Idul Adha 2019
2,Beras Kualitas Bawah II,22/08/2019,9400,Idul Adha 2019
3,Beras Kualitas Medium I,22/08/2019,11400,Idul Adha 2019
4,Beras Kualitas Medium II,22/08/2019,10900,Idul Adha 2019
5,Beras Kualitas Super I,22/08/2019,12900,Idul Adha 2019
6,Beras Kualitas Super II,22/08/2019,12100,Idul Adha 2019
II,Daging Ayam,22/08/2019,33350,Idul Adha 2019
1,Daging Ayam Ras Segar,22/08/2019,33350,Idul Adha 2019
III,Daging Sapi,22/08/2019,122500,Idul Adha 2019
1,Daging Sapi Kualitas 1,22/08/2019,127650,Idul Adha 2019
2,Daging Sapi Kualitas 2,22/08/2019,117350,Idul Adha 2019
IV,Telur Ayam,22/08/2019,23400,Idul Adha 2019
1,Telur Ayam Ras Segar,22/08/2019,23400,Idul Adha 2019
V,Bawang Merah,22/08/2019,23050,Idul Adha 2019
1,Bawang Merah Ukuran Sedang,22/08/2019,23050,Idul Adha 2019
VI,Bawang Putih,22/08/2019,33250,Idul Adha 2019
1,Bawang Putih Ukuran Sedang,22/08/2019,33250,Idul Adha 2019
VII,Cabai Merah,22/08/2019,55250,Idul Adha 2019
1,Cabai Merah Besar,22/08/2019,46050,Idul Adha 2019
2,Cabai Merah Keriting ,22/08/2019,64450,Idul Adha 2019
VIII,Cabai Rawit,22/08/2019,69550,Idul Adha 2019
1,Cabai Rawit Hijau,22/08/2019,50100,Idul Adha 2019
2,Cabai Rawit Merah,22/08/2019,88950,Idul Adha 2019
IX,Minyak Goreng,22/08/2019,12250,Idul Adha 2019
1,Minyak Goreng Curah,22/08/2019,10350,Idul Adha 2019
2,Minyak Goreng Kemasan Bermerk 1,22/08/2019,13450,Idul Adha 2019
3,Minyak Goreng Kemasan Bermerk 2,22/08/2019,12950,Idul Adha 2019
X,Gula Pasir,22/08/2019,13300,Idul Adha 2019
1,Gula Pasir Kualitas Premium,22/08/2019,13700,Idul Adha 2019
2,Gula Pasir Lokal,22/08/2019,12850,Idul Adha 2019
I,Beras,23/08/2019,11100,Idul Adha 2019
1,Beras Kualitas Bawah I,23/08/2019,10000,Idul Adha 2019
2,Beras Kualitas Bawah II,23/08/2019,9400,Idul Adha 2019
3,Beras Kualitas Medium I,23/08/2019,11400,Idul Adha 2019
4,Beras Kualitas Medium II,23/08/2019,10900,Idul Adha 2019
5,Beras Kualitas Super I,23/08/2019,12900,Idul Adha 2019
6,Beras Kualitas Super II,23/08/2019,12100,Idul Adha 2019
II,Daging Ayam,23/08/2019,33300,Idul Adha 2019
1,Daging Ayam Ras Segar,23/08/2019,33300,Idul Adha 2019
III,Daging Sapi,23/08/2019,122500,Idul Adha 2019
1,Daging Sapi Kualitas 1,23/08/2019,127650,Idul Adha 2019
2,Daging Sapi Kualitas 2,23/08/2019,117350,Idul Adha 2019
IV,Telur Ayam,23/08/2019,23400,Idul Adha 2019
1,Telur Ayam Ras Segar,23/08/2019,23400,Idul Adha 2019
V,Bawang Merah,23/08/2019,22450,Idul Adha 2019
1,Bawang Merah Ukuran Sedang,23/08/2019,22450,Idul Adha 2019
VI,Bawang Putih,23/08/2019,33250,Idul Adha 2019
1,Bawang Putih Ukuran Sedang,23/08/2019,33250,Idul Adha 2019
VII,Cabai Merah,23/08/2019,53750,Idul Adha 2019
1,Cabai Merah Besar,23/08/2019,45200,Idul Adha 2019
2,Cabai Merah Keriting ,23/08/2019,62250,Idul Adha 2019
VIII,Cabai Rawit,23/08/2019,68050,Idul Adha 2019
1,Cabai Rawit Hijau,23/08/2019,48100,Idul Adha 2019
2,Cabai Rawit Merah,23/08/2019,87950,Idul Adha 2019
IX,Minyak Goreng,23/08/2019,12250,Idul Adha 2019
1,Minyak Goreng Curah,23/08/2019,10400,Idul Adha 2019
2,Minyak Goreng Kemasan Bermerk 1,23/08/2019,13450,Idul Adha 2019
3,Minyak Goreng Kemasan Bermerk 2,23/08/2019,12950,Idul Adha 2019
X,Gula Pasir,23/08/2019,13300,Idul Adha 2019
1,Gula Pasir Kualitas Premium,23/08/2019,13700,Idul Adha 2019
2,Gula Pasir Lokal,23/08/2019,12850,Idul Adha 2019
I,Beras,01/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,01/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,01/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,01/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,01/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,01/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,01/07/2020,12300,Idul Adha 2020
II,Daging Ayam,01/07/2020,40200,Idul Adha 2020
1,Daging Ayam Ras Segar,01/07/2020,40200,Idul Adha 2020
III,Daging Sapi,01/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,01/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,01/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,01/07/2020,25850,Idul Adha 2020
1,Telur Ayam Ras Segar,01/07/2020,25850,Idul Adha 2020
V,Bawang Merah,01/07/2020,41150,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,01/07/2020,41150,Idul Adha 2020
VI,Bawang Putih,01/07/2020,24300,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,01/07/2020,24300,Idul Adha 2020
VII,Cabai Merah,01/07/2020,26150,Idul Adha 2020
1,Cabai Merah Besar,01/07/2020,29650,Idul Adha 2020
2,Cabai Merah Keriting ,01/07/2020,22650,Idul Adha 2020
VIII,Cabai Rawit,01/07/2020,24300,Idul Adha 2020
1,Cabai Rawit Hijau,01/07/2020,22650,Idul Adha 2020
2,Cabai Rawit Merah,01/07/2020,25900,Idul Adha 2020
IX,Minyak Goreng,01/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,01/07/2020,11250,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,01/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,01/07/2020,13450,Idul Adha 2020
X,Gula Pasir,01/07/2020,15550,Idul Adha 2020
1,Gula Pasir Kualitas Premium,01/07/2020,16200,Idul Adha 2020
2,Gula Pasir Lokal,01/07/2020,14900,Idul Adha 2020
I,Beras,02/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,02/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,02/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,02/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,02/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,02/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,02/07/2020,12300,Idul Adha 2020
II,Daging Ayam,02/07/2020,40200,Idul Adha 2020
1,Daging Ayam Ras Segar,02/07/2020,40200,Idul Adha 2020
III,Daging Sapi,02/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,02/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,02/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,02/07/2020,25600,Idul Adha 2020
1,Telur Ayam Ras Segar,02/07/2020,25600,Idul Adha 2020
V,Bawang Merah,02/07/2020,40750,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,02/07/2020,40750,Idul Adha 2020
VI,Bawang Putih,02/07/2020,24300,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,02/07/2020,24300,Idul Adha 2020
VII,Cabai Merah,02/07/2020,26000,Idul Adha 2020
1,Cabai Merah Besar,02/07/2020,29450,Idul Adha 2020
2,Cabai Merah Keriting ,02/07/2020,22550,Idul Adha 2020
VIII,Cabai Rawit,02/07/2020,24300,Idul Adha 2020
1,Cabai Rawit Hijau,02/07/2020,22850,Idul Adha 2020
2,Cabai Rawit Merah,02/07/2020,25800,Idul Adha 2020
IX,Minyak Goreng,02/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,02/07/2020,11250,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,02/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,02/07/2020,13450,Idul Adha 2020
X,Gula Pasir,02/07/2020,15500,Idul Adha 2020
1,Gula Pasir Kualitas Premium,02/07/2020,16150,Idul Adha 2020
2,Gula Pasir Lokal,02/07/2020,14800,Idul Adha 2020
I,Beras,03/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,03/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,03/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,03/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,03/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,03/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,03/07/2020,12300,Idul Adha 2020
II,Daging Ayam,03/07/2020,39950,Idul Adha 2020
1,Daging Ayam Ras Segar,03/07/2020,39950,Idul Adha 2020
III,Daging Sapi,03/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,03/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,03/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,03/07/2020,25450,Idul Adha 2020
1,Telur Ayam Ras Segar,03/07/2020,25450,Idul Adha 2020
V,Bawang Merah,03/07/2020,40250,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,03/07/2020,40250,Idul Adha 2020
VI,Bawang Putih,03/07/2020,24200,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,03/07/2020,24200,Idul Adha 2020
VII,Cabai Merah,03/07/2020,26000,Idul Adha 2020
1,Cabai Merah Besar,03/07/2020,29600,Idul Adha 2020
2,Cabai Merah Keriting ,03/07/2020,22350,Idul Adha 2020
VIII,Cabai Rawit,03/07/2020,24150,Idul Adha 2020
1,Cabai Rawit Hijau,03/07/2020,22200,Idul Adha 2020
2,Cabai Rawit Merah,03/07/2020,26100,Idul Adha 2020
IX,Minyak Goreng,03/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,03/07/2020,11250,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,03/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,03/07/2020,13450,Idul Adha 2020
X,Gula Pasir,03/07/2020,15450,Idul Adha 2020
1,Gula Pasir Kualitas Premium,03/07/2020,16100,Idul Adha 2020
2,Gula Pasir Lokal,03/07/2020,14750,Idul Adha 2020
I,Beras,06/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,06/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,06/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,06/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,06/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,06/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,06/07/2020,12300,Idul Adha 2020
II,Daging Ayam,06/07/2020,38750,Idul Adha 2020
1,Daging Ayam Ras Segar,06/07/2020,38750,Idul Adha 2020
III,Daging Sapi,06/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,06/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,06/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,06/07/2020,25400,Idul Adha 2020
1,Telur Ayam Ras Segar,06/07/2020,25400,Idul Adha 2020
V,Bawang Merah,06/07/2020,39200,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,06/07/2020,39200,Idul Adha 2020
VI,Bawang Putih,06/07/2020,24150,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,06/07/2020,24150,Idul Adha 2020
VII,Cabai Merah,06/07/2020,26050,Idul Adha 2020
1,Cabai Merah Besar,06/07/2020,29700,Idul Adha 2020
2,Cabai Merah Keriting ,06/07/2020,22350,Idul Adha 2020
VIII,Cabai Rawit,06/07/2020,24750,Idul Adha 2020
1,Cabai Rawit Hijau,06/07/2020,22650,Idul Adha 2020
2,Cabai Rawit Merah,06/07/2020,26800,Idul Adha 2020
IX,Minyak Goreng,06/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,06/07/2020,11250,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,06/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,06/07/2020,13450,Idul Adha 2020
X,Gula Pasir,06/07/2020,15350,Idul Adha 2020
1,Gula Pasir Kualitas Premium,06/07/2020,16050,Idul Adha 2020
2,Gula Pasir Lokal,06/07/2020,14650,Idul Adha 2020
I,Beras,07/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,07/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,07/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,07/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,07/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,07/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,07/07/2020,12300,Idul Adha 2020
II,Daging Ayam,07/07/2020,38100,Idul Adha 2020
1,Daging Ayam Ras Segar,07/07/2020,38100,Idul Adha 2020
III,Daging Sapi,07/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,07/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,07/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,07/07/2020,25300,Idul Adha 2020
1,Telur Ayam Ras Segar,07/07/2020,25300,Idul Adha 2020
V,Bawang Merah,07/07/2020,38950,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,07/07/2020,38950,Idul Adha 2020
VI,Bawang Putih,07/07/2020,24150,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,07/07/2020,24150,Idul Adha 2020
VII,Cabai Merah,07/07/2020,26100,Idul Adha 2020
1,Cabai Merah Besar,07/07/2020,29950,Idul Adha 2020
2,Cabai Merah Keriting ,07/07/2020,22250,Idul Adha 2020
VIII,Cabai Rawit,07/07/2020,24800,Idul Adha 2020
1,Cabai Rawit Hijau,07/07/2020,22800,Idul Adha 2020
2,Cabai Rawit Merah,07/07/2020,26800,Idul Adha 2020
IX,Minyak Goreng,07/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,07/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,07/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,07/07/2020,13450,Idul Adha 2020
X,Gula Pasir,07/07/2020,15100,Idul Adha 2020
1,Gula Pasir Kualitas Premium,07/07/2020,15600,Idul Adha 2020
2,Gula Pasir Lokal,07/07/2020,14550,Idul Adha 2020
I,Beras,08/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,08/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,08/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,08/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,08/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,08/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,08/07/2020,12300,Idul Adha 2020
II,Daging Ayam,08/07/2020,37750,Idul Adha 2020
1,Daging Ayam Ras Segar,08/07/2020,37750,Idul Adha 2020
III,Daging Sapi,08/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,08/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,08/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,08/07/2020,25450,Idul Adha 2020
1,Telur Ayam Ras Segar,08/07/2020,25450,Idul Adha 2020
V,Bawang Merah,08/07/2020,38300,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,08/07/2020,38300,Idul Adha 2020
VI,Bawang Putih,08/07/2020,23850,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,08/07/2020,23850,Idul Adha 2020
VII,Cabai Merah,08/07/2020,26200,Idul Adha 2020
1,Cabai Merah Besar,08/07/2020,30150,Idul Adha 2020
2,Cabai Merah Keriting ,08/07/2020,22250,Idul Adha 2020
VIII,Cabai Rawit,08/07/2020,25400,Idul Adha 2020
1,Cabai Rawit Hijau,08/07/2020,22650,Idul Adha 2020
2,Cabai Rawit Merah,08/07/2020,28150,Idul Adha 2020
IX,Minyak Goreng,08/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,08/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,08/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,08/07/2020,13450,Idul Adha 2020
X,Gula Pasir,08/07/2020,15100,Idul Adha 2020
1,Gula Pasir Kualitas Premium,08/07/2020,15600,Idul Adha 2020
2,Gula Pasir Lokal,08/07/2020,14550,Idul Adha 2020
I,Beras,09/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,09/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,09/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,09/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,09/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,09/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,09/07/2020,12300,Idul Adha 2020
II,Daging Ayam,09/07/2020,36950,Idul Adha 2020
1,Daging Ayam Ras Segar,09/07/2020,36950,Idul Adha 2020
III,Daging Sapi,09/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,09/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,09/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,09/07/2020,25450,Idul Adha 2020
1,Telur Ayam Ras Segar,09/07/2020,25450,Idul Adha 2020
V,Bawang Merah,09/07/2020,38100,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,09/07/2020,38100,Idul Adha 2020
VI,Bawang Putih,09/07/2020,23900,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,09/07/2020,23900,Idul Adha 2020
VII,Cabai Merah,09/07/2020,26450,Idul Adha 2020
1,Cabai Merah Besar,09/07/2020,30450,Idul Adha 2020
2,Cabai Merah Keriting ,09/07/2020,22450,Idul Adha 2020
VIII,Cabai Rawit,09/07/2020,25450,Idul Adha 2020
1,Cabai Rawit Hijau,09/07/2020,22650,Idul Adha 2020
2,Cabai Rawit Merah,09/07/2020,28200,Idul Adha 2020
IX,Minyak Goreng,09/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,09/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,09/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,09/07/2020,13450,Idul Adha 2020
X,Gula Pasir,09/07/2020,15100,Idul Adha 2020
1,Gula Pasir Kualitas Premium,09/07/2020,15600,Idul Adha 2020
2,Gula Pasir Lokal,09/07/2020,14550,Idul Adha 2020
I,Beras,10/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,10/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,10/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,10/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,10/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,10/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,10/07/2020,12300,Idul Adha 2020
II,Daging Ayam,10/07/2020,36550,Idul Adha 2020
1,Daging Ayam Ras Segar,10/07/2020,36550,Idul Adha 2020
III,Daging Sapi,10/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,10/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,10/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,10/07/2020,25450,Idul Adha 2020
1,Telur Ayam Ras Segar,10/07/2020,25450,Idul Adha 2020
V,Bawang Merah,10/07/2020,37800,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,10/07/2020,37800,Idul Adha 2020
VI,Bawang Putih,10/07/2020,23750,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,10/07/2020,23750,Idul Adha 2020
VII,Cabai Merah,10/07/2020,26700,Idul Adha 2020
1,Cabai Merah Besar,10/07/2020,30700,Idul Adha 2020
2,Cabai Merah Keriting ,10/07/2020,22650,Idul Adha 2020
VIII,Cabai Rawit,10/07/2020,25550,Idul Adha 2020
1,Cabai Rawit Hijau,10/07/2020,22550,Idul Adha 2020
2,Cabai Rawit Merah,10/07/2020,28550,Idul Adha 2020
IX,Minyak Goreng,10/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,10/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,10/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,10/07/2020,13450,Idul Adha 2020
X,Gula Pasir,10/07/2020,15050,Idul Adha 2020
1,Gula Pasir Kualitas Premium,10/07/2020,15600,Idul Adha 2020
2,Gula Pasir Lokal,10/07/2020,14500,Idul Adha 2020
I,Beras,13/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,13/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,13/07/2020,9800,Idul Adha 2020
3,Beras Kualitas Medium I,13/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,13/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,13/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,13/07/2020,12300,Idul Adha 2020
II,Daging Ayam,13/07/2020,35250,Idul Adha 2020
1,Daging Ayam Ras Segar,13/07/2020,35250,Idul Adha 2020
III,Daging Sapi,13/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,13/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,13/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,13/07/2020,25950,Idul Adha 2020
1,Telur Ayam Ras Segar,13/07/2020,25950,Idul Adha 2020
V,Bawang Merah,13/07/2020,36950,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,13/07/2020,36950,Idul Adha 2020
VI,Bawang Putih,13/07/2020,23450,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,13/07/2020,23450,Idul Adha 2020
VII,Cabai Merah,13/07/2020,27050,Idul Adha 2020
1,Cabai Merah Besar,13/07/2020,31250,Idul Adha 2020
2,Cabai Merah Keriting ,13/07/2020,22850,Idul Adha 2020
VIII,Cabai Rawit,13/07/2020,25800,Idul Adha 2020
1,Cabai Rawit Hijau,13/07/2020,22650,Idul Adha 2020
2,Cabai Rawit Merah,13/07/2020,28950,Idul Adha 2020
IX,Minyak Goreng,13/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,13/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,13/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,13/07/2020,13450,Idul Adha 2020
X,Gula Pasir,13/07/2020,14900,Idul Adha 2020
1,Gula Pasir Kualitas Premium,13/07/2020,15500,Idul Adha 2020
2,Gula Pasir Lokal,13/07/2020,14300,Idul Adha 2020
I,Beras,14/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,14/07/2020,10350,Idul Adha 2020
2,Beras Kualitas Bawah II,14/07/2020,9750,Idul Adha 2020
3,Beras Kualitas Medium I,14/07/2020,11500,Idul Adha 2020
4,Beras Kualitas Medium II,14/07/2020,11050,Idul Adha 2020
5,Beras Kualitas Super I,14/07/2020,13100,Idul Adha 2020
6,Beras Kualitas Super II,14/07/2020,12300,Idul Adha 2020
II,Daging Ayam,14/07/2020,34800,Idul Adha 2020
1,Daging Ayam Ras Segar,14/07/2020,34800,Idul Adha 2020
III,Daging Sapi,14/07/2020,122250,Idul Adha 2020
1,Daging Sapi Kualitas 1,14/07/2020,127650,Idul Adha 2020
2,Daging Sapi Kualitas 2,14/07/2020,116850,Idul Adha 2020
IV,Telur Ayam,14/07/2020,26000,Idul Adha 2020
1,Telur Ayam Ras Segar,14/07/2020,26000,Idul Adha 2020
V,Bawang Merah,14/07/2020,36200,Idul Adha 2020
1,Bawang Merah Ukuran Sedang,14/07/2020,36200,Idul Adha 2020
VI,Bawang Putih,14/07/2020,23400,Idul Adha 2020
1,Bawang Putih Ukuran Sedang,14/07/2020,23400,Idul Adha 2020
VII,Cabai Merah,14/07/2020,27200,Idul Adha 2020
1,Cabai Merah Besar,14/07/2020,31400,Idul Adha 2020
2,Cabai Merah Keriting ,14/07/2020,22950,Idul Adha 2020
VIII,Cabai Rawit,14/07/2020,26050,Idul Adha 2020
1,Cabai Rawit Hijau,14/07/2020,22500,Idul Adha 2020
2,Cabai Rawit Merah,14/07/2020,29600,Idul Adha 2020
IX,Minyak Goreng,14/07/2020,12900,Idul Adha 2020
1,Minyak Goreng Curah,14/07/2020,11300,Idul Adha 2020
2,Minyak Goreng Kemasan Bermerk 1,14/07/2020,13950,Idul Adha 2020
3,Minyak Goreng Kemasan Bermerk 2,14/07/2020,13450,Idul Adha 2020
X,Gula Pasir,14/07/2020,14850,Idul Adha 2020
1,Gula Pasir Kualitas Premium,14/07/2020,15400,Idul Adha 2020
2,Gula Pasir Lokal,14/07/2020,14300,Idul Adha 2020
I,Beras,15/07/2020,11350,Idul Adha 2020
1,Beras Kualitas Bawah I,15/07/2020,10350,Idul Adha 2020
